epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2625.81,0.57801,0.51001,0.8956,0.89494,0.89132,0.87932,0.73187,0.69873,0.81024,0.86047,0.00414116,0.00414116,0.00414116
58,2667.43,0.57683,0.51145,0.89437,0.92967,0.87722,0.89624,0.74574,0.72415,0.77497,0.87164,0.00398938,0.00398938,0.00398938
59,2708.89,0.57506,0.52104,0.89561,0.92077,0.87409,0.88457,0.74769,0.68889,0.75321,0.85148,0.00383865,0.00383865,0.00383865
60,2750.05,0.57131,0.51454,0.89042,0.89972,0.88894,0.88727,0.74165,0.69423,0.82624,0.85659,0.00368914,0.00368914,0.00368914
61,2791.62,0.56389,0.50582,0.88817,0.89934,0.87963,0.88176,0.74432,0.68515,0.78755,0.84989,0.00354098,0.00354098,0.00354098
62,2832.95,0.55924,0.49916,0.88737,0.89003,0.88527,0.87746,0.7455,0.68521,0.78762,0.84797,0.00339433,0.00339433,0.00339433
63,2875.2,0.55707,0.49258,0.88813,0.90697,0.87403,0.89018,0.74011,0.69543,0.78335,0.85427,0.00324933,0.00324933,0.00324933
64,2917.53,0.55136,0.48475,0.88725,0.90641,0.87772,0.88281,0.74494,0.6688,0.76887,0.84727,0.00310612,0.00310612,0.00310612
65,2958.91,0.54693,0.47788,0.88155,0.91124,0.87695,0.88784,0.74763,0.69306,0.75632,0.84731,0.00296485,0.00296485,0.00296485
66,3000.21,0.53864,0.47252,0.88575,0.91185,0.8721,0.88046,0.74633,0.67392,0.7631,0.84449,0.00282565,0.00282565,0.00282565
67,3041.52,0.53711,0.46654,0.88118,0.90405,0.87643,0.88601,0.74909,0.66175,0.7851,0.84113,0.00268866,0.00268866,0.00268866
68,3082.82,0.53037,0.4574,0.87528,0.89018,0.88763,0.88472,0.74952,0.67894,0.76034,0.83942,0.00255401,0.00255401,0.00255401
69,3124.19,0.52744,0.46273,0.87969,0.913,0.88958,0.89097,0.75328,0.69246,0.77491,0.8583,0.00242185,0.00242185,0.00242185
70,3167.25,0.52187,0.45136,0.88102,0.91583,0.87687,0.88354,0.74746,0.67864,0.79069,0.84477,0.00229229,0.00229229,0.00229229
71,3209.09,0.52294,0.45418,0.88062,0.90854,0.88026,0.8857,0.74574,0.66606,0.78331,0.83468,0.00216547,0.00216547,0.00216547
72,3250.84,0.51732,0.44729,0.8719,0.91995,0.86799,0.88414,0.75258,0.64939,0.78107,0.84088,0.00204151,0.00204151,0.00204151
73,3292.79,0.51039,0.4462,0.87446,0.90296,0.88475,0.89058,0.75383,0.68142,0.77014,0.8408,0.00192054,0.00192054,0.00192054
74,3334.59,0.51573,0.44896,0.87814,0.89951,0.89482,0.88825,0.75172,0.66738,0.74207,0.8478,0.00180267,0.00180267,0.00180267
75,3376.5,0.50162,0.43457,0.87414,0.90731,0.89869,0.89241,0.75954,0.65989,0.73174,0.85038,0.00168802,0.00168802,0.00168802
76,3419.21,0.50389,0.43672,0.87218,0.91431,0.87936,0.88752,0.74891,0.67581,0.7545,0.84604,0.00157671,0.00157671,0.00157671
77,3460.34,0.49708,0.43832,0.87348,0.90545,0.88757,0.88916,0.75043,0.6677,0.73792,0.84659,0.00146884,0.00146884,0.00146884
78,3501.34,0.49436,0.42583,0.86867,0.91073,0.89338,0.89259,0.74916,0.68318,0.74288,0.85526,0.00136451,0.00136451,0.00136451
79,3542.09,0.49949,0.42972,0.8722,0.90256,0.90277,0.88622,0.7479,0.67793,0.74475,0.84976,0.00126385,0.00126385,0.00126385
80,3582.16,0.49148,0.42592,0.86884,0.92018,0.88316,0.88838,0.75331,0.66532,0.7479,0.84426,0.00116693,0.00116693,0.00116693
81,3622.73,0.49001,0.42396,0.86826,0.89297,0.901,0.88882,0.7531,0.65836,0.74099,0.837,0.00107386,0.00107386,0.00107386
82,3663.23,0.47362,0.41085,0.86546,0.89803,0.90366,0.88428,0.75221,0.65439,0.73805,0.83728,0.000984728,0.000984728,0.000984728
83,3703.75,0.4812,0.41374,0.86902,0.90373,0.89755,0.88794,0.75167,0.65694,0.74447,0.83678,0.000899625,0.000899625,0.000899625
84,3744.1,0.47921,0.41432,0.8676,0.90902,0.90161,0.89126,0.7552,0.64425,0.73067,0.83312,0.000818634,0.000818634,0.000818634
85,3784.8,0.47968,0.41158,0.86626,0.91451,0.89478,0.88548,0.74953,0.67348,0.74955,0.84085,0.000741834,0.000741834,0.000741834
86,3826.23,0.47333,0.40994,0.86913,0.90379,0.90119,0.8875,0.75267,0.66204,0.75388,0.83399,0.000669301,0.000669301,0.000669301
87,3876.09,0.47383,0.40717,0.86932,0.90737,0.89718,0.88931,0.75801,0.64369,0.73645,0.82751,0.000601107,0.000601107,0.000601107
88,3945.29,0.46635,0.39985,0.86375,0.91418,0.88885,0.88876,0.75393,0.66079,0.7517,0.83677,0.000537319,0.000537319,0.000537319
89,3986.25,0.46913,0.40309,0.86513,0.91067,0.89281,0.88857,0.75561,0.64219,0.72912,0.82856,0.000478,0.000478,0.000478
90,4027.63,0.46454,0.40331,0.86253,0.90791,0.89294,0.89038,0.75518,0.65235,0.73335,0.83472,0.000423209,0.000423209,0.000423209
91,4065.74,0.47576,0.39159,0.85098,0.90681,0.89807,0.88837,0.75039,0.65905,0.7332,0.84358,0.000372999,0.000372999,0.000372999
92,4104.03,0.46384,0.36493,0.84602,0.90223,0.89935,0.88971,0.75765,0.65535,0.74323,0.83981,0.000327421,0.000327421,0.000327421
93,4143.08,0.45494,0.35606,0.83906,0.90956,0.89565,0.88665,0.75679,0.65749,0.72565,0.8404,0.000286519,0.000286519,0.000286519
94,4181.95,0.45449,0.35129,0.83965,0.91232,0.89265,0.88511,0.75745,0.6525,0.72048,0.83841,0.000250333,0.000250333,0.000250333
95,4221.9,0.45188,0.3565,0.84116,0.90901,0.8946,0.88838,0.75923,0.64996,0.72408,0.83715,0.000218899,0.000218899,0.000218899
96,4259.41,0.45154,0.35104,0.83923,0.90548,0.89718,0.89166,0.75893,0.65461,0.72078,0.83901,0.000192249,0.000192249,0.000192249
97,4296.55,0.44661,0.34913,0.83683,0.90399,0.89571,0.89121,0.76222,0.64776,0.71878,0.83441,0.000170408,0.000170408,0.000170408
98,4334.79,0.44935,0.34989,0.83978,0.90777,0.89411,0.89082,0.76162,0.65017,0.71689,0.83575,0.000153398,0.000153398,0.000153398
99,4373.65,0.44663,0.34725,0.83919,0.90809,0.89152,0.89115,0.75832,0.64935,0.71656,0.83542,0.000141237,0.000141237,0.000141237
100,4412.13,0.44274,0.34386,0.83894,0.90565,0.89192,0.89271,0.76041,0.65065,0.72059,0.83364,0.000133935,0.000133935,0.000133935
